SRRL BMS Dew Point Temperature,SRRL BMS Diffuse Horizontal Irradiance,SRRL BMS Direct Normal Irradiance,SRRL BMS Dry Bulb Temperature,SRRL BMS Global Horizontal Irradiance,SRRL BMS Relative Humidity,SRRL BMS Wind Speed at 19',day_of_week,weekend,hour,minute,usage
15.41373319,-1.525850058,-0.00519907,56.40800095,-1.81082499,17.93000031,10.45798111,2,0,0,0,98.95
15.18390587,-1.496225953,0.207963899,56.17399979,-1.841866016,17.87999916,11.26553917,2,0,0,1,99.85
14.89122097,-1.441190958,0.45751971,55.88600159,-1.873579025,17.80999947,12.77775192,2,0,0,2,100.75
14.83616446,-1.37175405,0.473116606,55.79600143,-1.860084057,17.81999969,12.69498253,2,0,0,3,101.65
14.78296601,-1.317348957,0.545903087,55.72399902,-1.843271017,17.81999969,11.63240719,2,0,0,4,102.55
15.03270194,-1.280413032,0.644684672,55.52600098,-1.856863022,18.17000008,11.60332584,2,0,0,5,103.45
14.98892734,-1.259775043,0.649884522,55.34600067,-1.839231014,18.25,11.07315636,2,0,0,6,102.54
15.0955701,-1.256176949,0.629089415,55.22000122,-1.841384053,18.43000031,9.701874733,2,0,0,7,101.63
15.15875865,-1.238111019,0.441921592,55.11199951,-1.832425952,18.55999947,11.04407597,2,0,0,8,100.72
15.60173633,-1.246258974,0.150773302,55.16600037,-1.813277006,18.93000031,11.54740047,2,0,0,9,99.81
16.0065699,-1.255113006,-0.207963705,55.36399841,-1.742110014,19.17000008,12.77775192,2,0,0,10,98.9
16.02762733,-1.274849057,-0.540706813,55.65200043,-1.669276953,18.98999977,10.48482513,2,0,0,11,98.31
15.93220693,-1.329807997,-0.514710605,55.74200058,-1.666157961,18.84000015,10.42890072,2,0,0,12,97.72
15.82823322,-1.365602016,-0.457519889,55.77799988,-1.657004952,18.71999931,9.395405769,2,0,0,13,97.13
15.69440165,-1.405313015,-0.337940305,55.75999832,-1.710450053,18.61000061,12.10665131,2,0,0,14,96.54
15.63145952,-1.388764024,-0.176769003,55.61600113,-1.758738041,18.64999962,9.869649887,2,0,0,15,95.95
15.47484964,-1.379412055,0.01039816,55.34600067,-1.782271028,18.69000053,8.697461128,2,0,0,16,97.55
15.47825887,-1.373245955,0.270352393,55.05799866,-1.870857954,18.88999939,8.612455368,2,0,0,17,99.15
15.57544344,-1.352174997,0.353537291,54.84199905,-1.918851972,19.12999916,9.059855461,2,0,0,18,100.75
15.609378,-1.340224981,0.493912488,54.7159996,-1.914006948,19.25,9.842805862,2,0,0,19,102.35
15.94933353,-1.341953039,0.457520008,54.60800171,-1.899083972,19.64999962,9.842805862,2,0,0,20,103.95
16.10388573,-1.304473042,0.280751288,54.66199875,-1.879938006,19.76000023,10.62575626,2,0,0,21,103.96
16.32995328,-1.285946012,0.166371197,54.7159996,-1.844606996,19.94000053,10.14927483,2,0,0,22,103.97
16.65309814,-1.278022051,0.135176405,54.69800186,-1.799478054,20.27000046,11.1850071,2,0,0,23,103.98
16.77765397,-1.272995949,0.02599543,54.7159996,-1.718533039,20.37999916,12.52720737,2,0,0,24,103.99
16.90168081,-1.25573802,-0.1507736,54.73400116,-1.682031035,20.48999977,13.92533302,2,0,0,25,104
17.01219546,-1.232750058,-0.40552941,54.7879982,-1.669283032,20.55999947,15.60308456,2,0,0,26,103.46
